endereco,bairro,address,latitude,longitude,Detalhe,Obs,Status,id_h3
"Rua Goiás, 1148",Quintino Bocaiúva,"Rua Goiás, 1148 - Quintino Bocaiúva - Rio de Janeiro",-22.888148,-43.320732,Bolsão d’água e alagamento de vila,SECONSERVA executando melhorias nas captações (falta captação da vila),,88a8a060e1fffff
Rua Vital,Quintino Bocaiúva,Rua Vital - Quintino Bocaiúva - Rio de Janeiro,-22.886605,-43.318949,,Fábrica de ralos,,88a8a060e5fffff
Estr. Mal. Alencastro- Alt. Alameda dos Três Bravos n°15,Ricardo de Albuquerque,Estr. Mal. Alencastro- Alt. Alameda dos Três Bravos n°15 - Ricardo de Albuquerque - Rio de Janeiro,-22.854416,-43.390097,,Verificar a obra do muro. Onde é?,,88a8a06541fffff
"Rua Japoara, 420",Ricardo de Albuquerque,"Rua Japoara, 420 - Ricardo de Albuquerque - Rio de Janeiro",-22.839403,-43.403281,,Projeto - Elaborar orçamento,,88a8a06555fffff
Av. Amaro Cavalcanti - Alt. Estação de Eng° de Dentro,Todos os Santos,Av. Amaro Cavalcanti - Alt. Estação de Eng° de Dentro - Todos os Santos - Rio de Janeiro,-22.89581,-43.29333,,Limpeza,,88a8a06035fffff
Avenida Amaro Cavalcanti - Alt. N° 135,Todos os Santos,Avenida Amaro Cavalcanti - Alt. N° 135 - Todos os Santos - Rio de Janeiro,-22.897454,-43.285007,,Fábrica de ralos,,88a8a061c9fffff
"Rua Italia D’incau, 470",Tomás Coelho,"Rua Italia D’incau, 470 - Tomás Coelho - Rio de Janeiro",-22.87108,-43.31142,,Melhorias nas captações - Fábrica de ralos,,88a8a061d3fffff
Rua Itaquati,Tomás coelho,Rua Itaquati - Tomás coelho - Rio de Janeiro,-22.86534,-43.307964,,Melhorias nas captações - Fábrica de ralos,,88a8a06199fffff
Rua Silva Vale X Rua Limeira,Tomás Coelho,Rua Silva Vale X Rua Limeira - Tomás Coelho - Rio de Janeiro,-22.869486,-43.309874,Avaliar captação,Fábrica de ralos,,88a8a061d3fffff
Buraco do Encantado,,Buraco do Encantado -  - Rio de Janeiro,-22.895959,-43.302182,Alagamentos recorrentes em fortes chuvas,SECONSERVA está com projeto de melhorias nas captações - Vai executar,,88a8a06031fffff
Av. Ernani Cardoso,,Av. Ernani Cardoso -  - Rio de Janeiro,-22.882419,-43.33544,Limpeza de ralo,COMLURB / SECONSERVA,,88a8a0608dfffff
