id_camera,bairro,subprefeitura,id_h3,is_bolsao,id_bolsao,bolsao_latitude,bolsao_longitude,bolsao_classe_atual,bacia,sub_bacia,geometry_bolsao_buffer_0.002
000028,Copacabana,Zona Sul,88a8a078cdfffff,,,,,,,,
000029,Copacabana,Zona Sul,88a8a078c1fffff,,,,,,,,
000030,Copacabana,Zona Sul,88a8a078cdfffff,,,,,,,,
000031,Ipanema,Zona Sul,88a8a078c9fffff,,,,,,,,
000032,Lagoa,Zona Sul,88a8a078cbfffff,TRUE,339,-22.9801409,-43.20764244,PO,ZS,Lagoa Rodrigo de Freitas,"POLYGON ((-43.2056424357 -22.9801408981, -43.20565206624666 -22.98033693238066, -43.20568086513919 -22.980531078744033, -43.205728555028536 -22.980721467454508, -43.20579467663498 -22.98090626496473, -43.205878593171306 -22.98108369157365, -43.2059794964754 -22.98125203856604, -43.20609641479328 -22.98140968466833, -43.20622822213763 -22.981555111662374, -43.20637364913168 -22.981686919006727, -43.206531295233965 -22.981803837324605, -43.20669964222635 -22.981904740628696, -43.20687706883527 -22.981988657165022, -43.20706186634549 -22.982054778771463, -43.20725225505597 -22.982102468660806, -43.20744640141934 -22.982131267553346, -43.2076424357 -22.9821408981, -43.207838469980665 -22.982131267553346, -43.208032616344035 -22.982102468660806, -43.20822300505451 -22.982054778771463, -43.208407802564736 -22.981988657165022, -43.20858522917366 -22.981904740628696, -43.20875357616604 -22.981803837324605, -43.20891122226833 -22.981686919006727, -43.20905664926237 -22.981555111662374, -43.209188456606725 -22.98140968466833, -43.209305374924604 -22.98125203856604, -43.2094062782287 -22.98108369157365, -43.209490194765024 -22.98090626496473, -43.20955631637147 -22.980721467454508, -43.20960400626081 -22.980531078744033, -43.20963280515335 -22.98033693238066, -43.209642435700005 -22.9801408981, -43.20963280515335 -22.97994486381934, -43.20960400626081 -22.979750717455968, -43.20955631637147 -22.979560328745492, -43.209490194765024 -22.97937553123527, -43.2094062782287 -22.97919810462635, -43.209305374924604 -22.97902975763396, -43.209188456606725 -22.978872111531672, -43.20905664926237 -22.978726684537627, -43.20891122226833 -22.978594877193274, -43.20875357616604 -22.978477958875395, -43.20858522917366 -22.978377055571304, -43.208407802564736 -22.978293139034978, -43.20822300505451 -22.978227017428537, -43.208032616344035 -22.978179327539195, -43.207838469980665 -22.978150528646655, -43.2076424357 -22.9781408981, -43.20744640141934 -22.978150528646655, -43.20725225505597 -22.978179327539195, -43.20706186634549 -22.978227017428537, -43.20687706883527 -22.978293139034978, -43.20669964222635 -22.978377055571304, -43.206531295233965 -22.978477958875395, -43.20637364913168 -22.978594877193274, -43.20622822213763 -22.978726684537627, -43.20609641479328 -22.978872111531672, -43.2059794964754 -22.97902975763396, -43.205878593171306 -22.97919810462635, -43.20579467663498 -22.97937553123527, -43.205728555028536 -22.979560328745492, -43.20568086513919 -22.979750717455968, -43.20565206624666 -22.97994486381934, -43.2056424357 -22.9801408981))"
000033,Leblon,Zona Sul,88a8a07ab1fffff,,,,,,,,
000034,Ipanema,Zona Sul,88a8a078cdfffff,,,,,,,,
000035,Copacabana,Zona Sul,88a8a078c7fffff,,,,,,,,
000037,Galeão,Ilhas,88a8a06f61fffff,,,,,,,,
000038,Ramos,Zona Norte,88a8a061a5fffff,,,,,,,,
000039,Centro,Centro,88a8a06a0dfffff,,,,,,,,
000040,Centro,Centro,88a8a06a0bfffff,TRUE,65,-22.90648633,-43.18234547,PC,G,Canal do Mangue,"POLYGON ((-43.180345474 -22.9064863275, -43.180355104546656 -22.90668236178066, -43.18038390343919 -22.906876508144034, -43.180431593328535 -22.90706689685451, -43.18049771493498 -22.90725169436473, -43.180581631471306 -22.907429120973653, -43.1806825347754 -22.907597467966042, -43.18079945309328 -22.90775511406833, -43.18093126043763 -22.907900541062375, -43.18107668743168 -22.908032348406728, -43.181234333533965 -22.908149266724607, -43.18140268052635 -22.908250170028698, -43.18158010713527 -22.908334086565024, -43.18176490464549 -22.908400208171464, -43.18195529335597 -22.908447898060807, -43.18214943971934 -22.908476696953347, -43.182345474 -22.9084863275, -43.182541508280664 -22.908476696953347, -43.182735654644034 -22.908447898060807, -43.18292604335451 -22.908400208171464, -43.183110840864735 -22.908334086565024, -43.18328826747366 -22.908250170028698, -43.18345661446604 -22.908149266724607, -43.183614260568326 -22.908032348406728, -43.18375968756237 -22.907900541062375, -43.183891494906725 -22.90775511406833, -43.1840084132246 -22.907597467966042, -43.1841093165287 -22.907429120973653, -43.184193233065024 -22.90725169436473, -43.18425935467147 -22.90706689685451, -43.18430704456081 -22.906876508144034, -43.18433584345335 -22.90668236178066, -43.184345474000004 -22.9064863275, -43.18433584345335 -22.906290293219342, -43.18430704456081 -22.90609614685597, -43.18425935467147 -22.905905758145494, -43.184193233065024 -22.90572096063527, -43.1841093165287 -22.90554353402635, -43.1840084132246 -22.90537518703396, -43.183891494906725 -22.905217540931673, -43.18375968756237 -22.905072113937628, -43.183614260568326 -22.904940306593275, -43.18345661446604 -22.904823388275396, -43.18328826747366 -22.904722484971305, -43.183110840864735 -22.90463856843498, -43.18292604335451 -22.90457244682854, -43.182735654644034 -22.904524756939196, -43.182541508280664 -22.904495958046656, -43.182345474 -22.904486327500003, -43.18214943971934 -22.904495958046656, -43.18195529335597 -22.904524756939196, -43.18176490464549 -22.90457244682854, -43.18158010713527 -22.90463856843498, -43.18140268052635 -22.904722484971305, -43.181234333533965 -22.904823388275396, -43.18107668743168 -22.904940306593275, -43.18093126043763 -22.905072113937628, -43.18079945309328 -22.905217540931673, -43.1806825347754 -22.90537518703396, -43.180581631471306 -22.90554353402635, -43.18049771493498 -22.90572096063527, -43.180431593328535 -22.905905758145494, -43.18038390343919 -22.90609614685597, -43.180355104546656 -22.906290293219342, -43.180345474 -22.9064863275))"
000041,Lapa,Centro,88a8a06a09fffff,TRUE,64,-22.91322776,-43.17818889,PC,G,Marina da Glória,"POLYGON ((-43.1761888887 -22.9132277623, -43.176198519246654 -22.91342379658066, -43.17622731813919 -22.913617942944033, -43.17627500802853 -22.913808331654508, -43.17634112963498 -22.91399312916473, -43.1764250461713 -22.91417055577365, -43.1765259494754 -22.91433890276604, -43.17664286779328 -22.91449654886833, -43.17677467513763 -22.914641975862374, -43.176920102131675 -22.914773783206726, -43.17707774823396 -22.914890701524605, -43.177246095226344 -22.914991604828696, -43.177423521835266 -22.915075521365022, -43.17760831934549 -22.915141642971463, -43.17779870805597 -22.915189332860805, -43.17799285441934 -22.915218131753345, -43.1781888887 -22.9152277623, -43.17838492298066 -22.915218131753345, -43.17857906934403 -22.915189332860805, -43.17876945805451 -22.915141642971463, -43.17895425556473 -22.915075521365022, -43.179131682173654 -22.914991604828696, -43.179300029166036 -22.914890701524605, -43.179457675268324 -22.914773783206726, -43.17960310226237 -22.914641975862374, -43.17973490960672 -22.91449654886833, -43.1798518279246 -22.91433890276604, -43.179952731228695 -22.91417055577365, -43.18003664776502 -22.91399312916473, -43.180102769371466 -22.913808331654508, -43.18015045926081 -22.913617942944033, -43.180179258153345 -22.91342379658066, -43.1801888887 -22.9132277623, -43.180179258153345 -22.91303172801934, -43.18015045926081 -22.912837581655968, -43.180102769371466 -22.912647192945492, -43.18003664776502 -22.91246239543527, -43.179952731228695 -22.91228496882635, -43.1798518279246 -22.91211662183396, -43.17973490960672 -22.91195897573167, -43.17960310226237 -22.911813548737626, -43.179457675268324 -22.911681741393274, -43.179300029166036 -22.911564823075395, -43.179131682173654 -22.911463919771304, -43.17895425556473 -22.911380003234978, -43.17876945805451 -22.911313881628537, -43.17857906934403 -22.911266191739195, -43.17838492298066 -22.911237392846655, -43.1781888887 -22.9112277623, -43.17799285441934 -22.911237392846655, -43.17779870805597 -22.911266191739195, -43.17760831934549 -22.911313881628537, -43.177423521835266 -22.911380003234978, -43.177246095226344 -22.911463919771304, -43.17707774823396 -22.911564823075395, -43.176920102131675 -22.911681741393274, -43.17677467513763 -22.911813548737626, -43.17664286779328 -22.91195897573167, -43.1765259494754 -22.91211662183396, -43.1764250461713 -22.91228496882635, -43.17634112963498 -22.91246239543527, -43.17627500802853 -22.912647192945492, -43.17622731813919 -22.912837581655968, -43.176198519246654 -22.91303172801934, -43.1761888887 -22.9132277623))"
000042,Flamengo,Zona Sul,88a8a06a49fffff,,,,,,,,
000043,Humaitá,Zona Sul,88a8a07881fffff,,,,,,,,
000044,Jardim Botânico,Zona Sul,88a8a078d1fffff,TRUE,88,-22.96743433,-43.22026438,PC,ZS,Lagoa Rodrigo de Freitas,"POLYGON ((-43.218264375699995 -22.9674343321, -43.21827400624665 -22.96763036638066, -43.21830280513919 -22.967824512744034, -43.21835049502853 -22.96801490145451, -43.218416616634975 -22.96819969896473, -43.2185005331713 -22.968377125573653, -43.218601436475396 -22.968545472566042, -43.218718354793275 -22.96870311866833, -43.21885016213763 -22.968848545662375, -43.21899558913167 -22.968980353006728, -43.21915323523396 -22.969097271324607, -43.21932158222634 -22.969198174628698, -43.219499008835264 -22.969282091165024, -43.219683806345486 -22.969348212771465, -43.219874195055965 -22.969395902660807, -43.220068341419335 -22.969424701553347, -43.2202643757 -22.9694343321, -43.22046040998066 -22.969424701553347, -43.22065455634403 -22.969395902660807, -43.22084494505451 -22.969348212771465, -43.22102974256473 -22.969282091165024, -43.22120716917365 -22.969198174628698, -43.221375516166034 -22.969097271324607, -43.22153316226832 -22.968980353006728, -43.22167858926237 -22.968848545662375, -43.22181039660672 -22.96870311866833, -43.2219273149246 -22.968545472566042, -43.222028218228694 -22.968377125573653, -43.22211213476502 -22.96819969896473, -43.222178256371464 -22.96801490145451, -43.22222594626081 -22.967824512744034, -43.22225474515334 -22.96763036638066, -43.2222643757 -22.9674343321, -43.22225474515334 -22.967238297819343, -43.22222594626081 -22.96704415145597, -43.222178256371464 -22.966853762745494, -43.22211213476502 -22.96666896523527, -43.222028218228694 -22.96649153862635, -43.2219273149246 -22.96632319163396, -43.22181039660672 -22.966165545531673, -43.22167858926237 -22.966020118537628, -43.22153316226832 -22.965888311193275, -43.221375516166034 -22.965771392875396, -43.22120716917365 -22.965670489571306, -43.22102974256473 -22.96558657303498, -43.22084494505451 -22.96552045142854, -43.22065455634403 -22.965472761539196, -43.22046040998066 -22.965443962646656, -43.2202643757 -22.965434332100003, -43.220068341419335 -22.965443962646656, -43.219874195055965 -22.965472761539196, -43.219683806345486 -22.96552045142854, -43.219499008835264 -22.96558657303498, -43.21932158222634 -22.965670489571306, -43.21915323523396 -22.965771392875396, -43.21899558913167 -22.965888311193275, -43.21885016213763 -22.966020118537628, -43.218718354793275 -22.966165545531673, -43.218601436475396 -22.96632319163396, -43.2185005331713 -22.96649153862635, -43.218416616634975 -22.96666896523527, -43.21835049502853 -22.966853762745494, -43.21830280513919 -22.96704415145597, -43.21827400624665 -22.967238297819343, -43.218264375699995 -22.9674343321))"
000045,Leblon,Zona Sul,88a8a07ab3fffff,TRUE,294,-22.97878473,-43.22864049,PO,ZS,Lagoa Rodrigo de Freitas,"POLYGON ((-43.226640489999994 -22.9787847288, -43.22665012054665 -22.97898076308066, -43.22667891943919 -22.979174909444033, -43.22672660932853 -22.97936529815451, -43.226792730934974 -22.97955009566473, -43.2268766474713 -22.979727522273652, -43.226977550775395 -22.97989586926604, -43.227094469093274 -22.98005351536833, -43.22722627643763 -22.980198942362374, -43.22737170343167 -22.980330749706727, -43.22752934953396 -22.980447668024606, -43.22769769652634 -22.980548571328697, -43.22787512313526 -22.980632487865023, -43.228059920645485 -22.980698609471464, -43.228250309355964 -22.980746299360806, -43.228444455719334 -22.980775098253346, -43.22864049 -22.9807847288, -43.22883652428066 -22.980775098253346, -43.22903067064403 -22.980746299360806, -43.22922105935451 -22.980698609471464, -43.22940585686473 -22.980632487865023, -43.22958328347365 -22.980548571328697, -43.22975163046603 -22.980447668024606, -43.22990927656832 -22.980330749706727, -43.23005470356237 -22.980198942362374, -43.23018651090672 -22.98005351536833, -43.2303034292246 -22.97989586926604, -43.23040433252869 -22.979727522273652, -43.23048824906502 -22.97955009566473, -43.23055437067146 -22.97936529815451, -43.230602060560805 -22.979174909444033, -43.23063085945334 -22.97898076308066, -43.23064049 -22.9787847288, -43.23063085945334 -22.978588694519342, -43.230602060560805 -22.97839454815597, -43.23055437067146 -22.978204159445493, -43.23048824906502 -22.97801936193527, -43.23040433252869 -22.97784193532635, -43.2303034292246 -22.97767358833396, -43.23018651090672 -22.977515942231673, -43.23005470356237 -22.977370515237627, -43.22990927656832 -22.977238707893274, -43.22975163046603 -22.977121789575396, -43.22958328347365 -22.977020886271305, -43.22940585686473 -22.97693696973498, -43.22922105935451 -22.976870848128538, -43.22903067064403 -22.976823158239196, -43.22883652428066 -22.976794359346655, -43.22864049 -22.976784728800002, -43.228444455719334 -22.976794359346655, -43.228250309355964 -22.976823158239196, -43.228059920645485 -22.976870848128538, -43.22787512313526 -22.97693696973498, -43.22769769652634 -22.977020886271305, -43.22752934953396 -22.977121789575396, -43.22737170343167 -22.977238707893274, -43.22722627643763 -22.977370515237627, -43.227094469093274 -22.977515942231673, -43.226977550775395 -22.97767358833396, -43.2268766474713 -22.97784193532635, -43.226792730934974 -22.97801936193527, -43.22672660932853 -22.978204159445493, -43.22667891943919 -22.97839454815597, -43.22665012054665 -22.978588694519342, -43.226640489999994 -22.9787847288))"
